firstname,lastname,email,year,birthdate,esi,city,postalcode,street,numstreet,mailreferent,codeEtablissement
Jacques,Lindgren,jacques.lindgren@gmail.com,2023,,,Brno,619 00,,,,
Letícia,Gomes-Dias,leticia.gnomes@gmail.com,2023,22/05/2002,,Madrid,28015,,,,
Sánta,Mozes,sánta.mozes@mail.com,2023,,,Porto,4049,,,,
Max,Jamieson,max.jamieson@mail.com,2023,,,,,,0,gfdg@æfg.com,
Niamh,Birch,niamh.birch@mail.com,2023,,,Hamurg,20095,,,,
Kristian,Wirtz,kristian.wirtz@mail.com,2023,,,Budapest,1007,,,,
Tapio,Sillanpää,tapio.sillanpää@mail.com,2023,,,Lisbon,1000-004,,,jean.dupont@unicaen.fr,
Maik,Drechsler,maik.drechsler@mail.com,2023,,,Bern,3007,,,,
Lennon,Boyle,lennon.boyle@mail.com,2023,,,Berlin,10115,,,,
Janes,Regan,janes.regan@mail.com,2023,,,Salamanca,37001,,,,
